5033419560201 26.0  8.5  0.009999-99.9-99.9-99.9-99.912.1 87-9.9-99-99.9 -99-99.927.5-9.9
5033419560202 32.3 12.7  0.009999-99.9-99.9-99.9-99.911.6 84-9.9-99-99.9 -99-99.926.7-9.9
5033419560203 33.2 16.4  0.009999-99.9-99.9-99.9-99.911.0 80-9.9-99-99.9 -99-99.925.7-9.9
5033419560204 31.5 19.5  0.819999-99.9-99.9-99.9-99.9 4.5 32-9.9-99-99.9 -99-99.914.7-9.9
5033419560205 25.4 14.3  0.009999-99.9-99.9-99.9-99.9 8.7 63-9.9-99-99.9 -99-99.921.7-9.9
5033419560206 26.3  5.8  0.009999-99.9-99.9-99.9-99.912.1 88-9.9-99-99.9 -99-99.927.2-9.9
5033419560207 29.4 12.7  0.009999-99.9-99.9-99.9-99.911.1 81-9.9-99-99.9 -99-99.925.5-9.9
5033419560208 31.5 15.6  0.009999-99.9-99.9-99.9-99.910.4 76-9.9-99-99.9 -99-99.924.3-9.9
5033419560209 34.2 20.1  0.009999-99.9-99.9-99.9-99.910.4 76-9.9-99-99.9 -99-99.924.2-9.9
5033419560210 33.5 18.1  0.009999-99.9-99.9-99.9-99.911.1 82-9.9-99-99.9 -99-99.925.4-9.9
5033419560211 33.0 17.4  0.009999-99.9-99.9-99.9-99.910.0 74-9.9-99-99.9 -99-99.923.5-9.9
5033419560212 34.0 15.8  3.619999-99.9-99.9-99.9-99.9 9.8 72-9.9-99-99.9 -99-99.922.9-9.9
5033419560213 27.4 14.8  0.009999-99.9-99.9-99.9-99.910.8 80-9.9-99-99.9 -99-99.924.6-9.9
5033419560214 29.5  7.2  0.009999-99.9-99.9-99.9-99.9 9.6 71-9.9-99-99.9 -99-99.922.5-9.9
5033419560215 27.9  7.7  0.009999-99.9-99.9-99.9-99.910.8 81-9.9-99-99.9 -99-99.924.5-9.9
5033419560216 32.6 15.9  0.009999-99.9-99.9-99.9-99.911.6 87-9.9-99-99.9 -99-99.925.7-9.9
5033419560217 34.8 18.2  0.009999-99.9-99.9-99.9-99.911.1 83-9.9-99-99.9 -99-99.924.7-9.9
5033419560218 34.9 14.1  0.009999-99.9-99.9-99.9-99.910.4 78-9.9-99-99.9 -99-99.923.5-9.9
5033419560219 35.1 19.4 26.319999-99.9-99.9-99.9-99.9 4.3 32-9.9-99-99.9 -99-99.913.7-9.9
5033419560220 28.7 18.4  5.419999-99.9-99.9-99.9-99.9 6.6 50-9.9-99-99.9 -99-99.917.4-9.9
5033419560221 24.0 11.9  0.009999-99.9-99.9-99.9-99.9 5.3 40-9.9-99-99.9 -99-99.915.2-9.9
5033419560222 24.8  6.7  0.009999-99.9-99.9-99.9-99.910.5 80-9.9-99-99.9 -99-99.923.4-9.9
5033419560223 29.4 10.3 16.219999-99.9-99.9-99.9-99.910.3 78-9.9-99-99.9 -99-99.922.8-9.9
5033419560224 27.5 10.1  0.009999-99.9-99.9-99.9-99.910.2 78-9.9-99-99.9 -99-99.922.7-9.9
5033419560225 28.0 16.1  0.009999-99.9-99.9-99.9-99.9 7.2 55-9.9-99-99.9 -99-99.917.9-9.9
5033419560226 30.0 14.3  4.219999-99.9-99.9-99.9-99.910.3 79-9.9-99-99.9 -99-99.922.6-9.9
5033419560227 27.0 15.2  8.319999-99.9-99.9-99.9-99.9 3.8 29-9.9-99-99.9 -99-99.912.4-9.9
5033419560228 23.9 12.5  0.009999-99.9-99.9-99.9-99.911.4 88-9.9-99-99.9 -99-99.924.1-9.9
5033419560229 31.0 10.7  0.009999-99.9-99.9-99.9-99.911.9 92-9.9-99-99.9 -99-99.924.7-9.9
5033419560301 33.0 12.9  0.009999-99.9-99.9-99.9-99.910.8 84-9.9-99-99.9 -99-99.923.0-9.9
5033419560302 34.0 13.5  0.009999-99.9-99.9-99.9-99.910.9 85-9.9-99-99.9 -99-99.923.0-9.9
5033419560303 32.0 19.9  0.009999-99.9-99.9-99.9-99.9 5.9 46-9.9-99-99.9 -99-99.915.3-9.9
5033419560304 30.4 17.1  0.009999-99.9-99.9-99.9-99.9 3.9 30-9.9-99-99.9 -99-99.912.1-9.9
5033419560305 34.0 15.6  0.009999-99.9-99.9-99.9-99.910.4 82-9.9-99-99.9 -99-99.922.0-9.9
5033419560306 27.6 17.4 27.819999-99.9-99.9-99.9-99.9 3.5 27-9.9-99-99.9 -99-99.911.4-9.9
5033419560307 28.8 12.4  0.009999-99.9-99.9-99.9-99.910.8 86-9.9-99-99.9 -99-99.922.4-9.9
5033419560308 31.8 16.6  0.009999-99.9-99.9-99.9-99.910.3 82-9.9-99-99.9 -99-99.921.5-9.9
5033419560309 33.4 20.7 10.219999-99.9-99.9-99.9-99.9 9.0 72-9.9-99-99.9 -99-99.919.5-9.9
5033419560310 32.0 17.7 91.619999-99.9-99.9-99.9-99.9 3.6 28-9.9-99-99.9 -99-99.911.2-9.9
5033419560311 26.0 13.1 22.019999-99.9-99.9-99.9-99.9 3.8 30-9.9-99-99.9 -99-99.911.5-9.9
5033419560312 19.0 12.2  0.009999-99.9-99.9-99.9-99.9 4.3 34-9.9-99-99.9 -99-99.912.1-9.9
5033419560313 22.0 10.8  0.009999-99.9-99.9-99.9-99.9 3.0 24-9.9-99-99.9 -99-99.910.2-9.9
5033419560314 27.3 11.5  0.009999-99.9-99.9-99.9-99.9 7.0 56-9.9-99-99.9 -99-99.915.9-9.9
5033419560315 30.6 17.1  0.009999-99.9-99.9-99.9-99.9 5.8 47-9.9-99-99.9 -99-99.914.2-9.9
5033419560316 23.0  9.6  0.009999-99.9-99.9-99.9-99.9 6.6 54-9.9-99-99.9 -99-99.915.3-9.9
5033419560317 26.0  9.6  0.009999-99.9-99.9-99.9-99.9 6.2 50-9.9-99-99.9 -99-99.914.5-9.9
5033419560318 29.5 13.6  0.009999-99.9-99.9-99.9-99.9 6.7 55-9.9-99-99.9 -99-99.915.2-9.9
5033419560319 29.5 15.7  0.009999-99.9-99.9-99.9-99.9 5.6 46-9.9-99-99.9 -99-99.913.5-9.9
5033419560505 20.5  6.5  0.009999-99.9-99.9-99.9-99.9 2.3 22-9.9-99-99.9 -99-99.9 6.0-9.9
5033419560506 15.4  2.7  2.219999-99.9-99.9-99.9-99.9 1.1 10-9.9-99-99.9 -99-99.9 4.7-9.9
5033419560507 12.7  0.5  0.009999-99.9-99.9-99.9-99.9 3.2 30-9.9-99-99.9 -99-99.9 6.8-9.9
5033419560508 13.4 -4.4  0.009999-99.9-99.9-99.9-99.9 5.7 55-9.9-99-99.9 -99-99.9 9.4-9.9
5033419560509 14.5  1.0  0.009999-99.9-99.9-99.9-99.9 8.3 80-9.9-99-99.9 -99-99.912.0-9.9
5033419560510 19.5 -0.7  0.009999-99.9-99.9-99.9-99.9 8.0 77-9.9-99-99.9 -99-99.911.5-9.9
5033419560511 18.0  0.3  0.009999-99.9-99.9-99.9-99.9 7.8 75-9.9-99-99.9 -99-99.911.2-9.9
5033419560512 17.5  0.2  0.009999-99.9-99.9-99.9-99.9 4.3 41-9.9-99-99.9 -99-99.9 7.6-9.9
5033419560513 16.0 -0.5  0.009999-99.9-99.9-99.9-99.9 6.8 66-9.9-99-99.9 -99-99.910.1-9.9
5033419560514 15.5  0.1  0.009999-99.9-99.9-99.9-99.9 6.5 63-9.9-99-99.9 -99-99.9 9.7-9.9
5033419560515 13.4 -1.0  0.009999-99.9-99.9-99.9-99.9 0.6  5-9.9-99-99.9 -99-99.9 3.8-9.9
5033419560516 16.4 -1.8  0.009999-99.9-99.9-99.9-99.9 7.2 70-9.9-99-99.9 -99-99.910.3-9.9
5033419560517 17.3  1.5  0.009999-99.9-99.9-99.9-99.9 5.7 56-9.9-99-99.9 -99-99.9 8.8-9.9
5033419560518 18.4  2.6  0.009999-99.9-99.9-99.9-99.9 3.7 36-9.9-99-99.9 -99-99.9 6.7-9.9
5033419560519 14.5  3.7  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.2-9.9
5033419560520 12.0  2.5  0.009999-99.9-99.9-99.9-99.9 0.9  8-9.9-99-99.9 -99-99.9 3.9-9.9
5033419560521 15.4  0.0  0.009999-99.9-99.9-99.9-99.9 5.6 55-9.9-99-99.9 -99-99.9 8.4-9.9
5033419560522 15.1  0.5  0.009999-99.9-99.9-99.9-99.9 3.1 30-9.9-99-99.9 -99-99.9 6.0-9.9
5033419560523 18.6  3.0  0.009999-99.9-99.9-99.9-99.9 6.7 67-9.9-99-99.9 -99-99.9 9.4-9.9
5033419560524 19.0  2.4  0.009999-99.9-99.9-99.9-99.9 3.6 36-9.9-99-99.9 -99-99.9 6.4-9.9
5033419560525 17.3  3.1  0.009999-99.9-99.9-99.9-99.9 2.0 20-9.9-99-99.9 -99-99.9 4.9-9.9
5033419560526 13.2  4.3  0.009999-99.9-99.9-99.9-99.9 0.3  3-9.9-99-99.9 -99-99.9 3.3-9.9
5033419560527 14.4  4.2  0.009999-99.9-99.9-99.9-99.9 4.3 43-9.9-99-99.9 -99-99.9 7.0-9.9
5033419560528 12.0  1.7  0.009999-99.9-99.9-99.9-99.9 0.1  1-9.9-99-99.9 -99-99.9 3.1-9.9
5033419560529 12.4  4.3  0.219999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.0-9.9
5033419560530 12.6  7.3  0.319999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.0-9.9
5033419560531  9.0  4.3 23.019999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.9-9.9
5033419560601 11.0  7.6  1.019999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.9-9.9
5033419560602 15.0  6.0  0.009999-99.9-99.9-99.9-99.9 0.2  2-9.9-99-99.9 -99-99.9 3.1-9.9
5033419560603 14.1  8.6  0.009999-99.9-99.9-99.9-99.9 1.3 13-9.9-99-99.9 -99-99.9 4.0-9.9
5033419560604 15.0  9.4  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.9-9.9
5033419560605 17.5  9.6  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.9-9.9
5033419560606 15.7  7.0  0.009999-99.9-99.9-99.9-99.9 0.1  1-9.9-99-99.9 -99-99.9 2.9-9.9
5033419560607 18.0  8.2  0.009999-99.9-99.9-99.9-99.9 4.2 43-9.9-99-99.9 -99-99.9 6.6-9.9
5033419560608 12.2  5.4  1.019999-99.9-99.9-99.9-99.9 0.1  1-9.9-99-99.9 -99-99.9 2.9-9.9
5033419560609 10.4 -3.0  0.009999-99.9-99.9-99.9-99.9 6.6 67-9.9-99-99.9 -99-99.9 8.6-9.9
5033419560610 14.3 -2.5  0.009999-99.9-99.9-99.9-99.9 4.9 50-9.9-99-99.9 -99-99.9 7.1-9.9
5033419560611 14.6 -0.2  0.009999-99.9-99.9-99.9-99.9 2.1 21-9.9-99-99.9 -99-99.9 4.6-9.9
5033419560612 13.0 -0.3  0.009999-99.9-99.9-99.9-99.9 5.2 53-9.9-99-99.9 -99-99.9 7.3-9.9
5033419560613 12.2 -2.4  0.009999-99.9-99.9-99.9-99.9 6.8 70-9.9-99-99.9 -99-99.9 8.8-9.9
5033419560614 17.8  1.4  0.009999-99.9-99.9-99.9-99.9 5.0 51-9.9-99-99.9 -99-99.9 7.1-9.9
5033419560615 20.7  3.2  0.009999-99.9-99.9-99.9-99.9 6.4 65-9.9-99-99.9 -99-99.9 8.3-9.9
5033419560616 13.1  4.0  0.009999-99.9-99.9-99.9-99.9 0.3  3-9.9-99-99.9 -99-99.9 3.0-9.9
5033419560617 12.0  1.0  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.8-9.9
5033419560618 12.0  4.1  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.8-9.9
5033419560619 14.9  4.1  0.219999-99.9-99.9-99.9-99.9 0.2  2-9.9-99-99.9 -99-99.9 2.9-9.9
5033419560620 12.5  6.0  0.009999-99.9-99.9-99.9-99.9 0.1  1-9.9-99-99.9 -99-99.9 2.9-9.9
5033419560621 13.7  7.2  1.419999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.8-9.9
5033419560622 14.0  9.4  0.119999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.8-9.9
5033419560623 12.0  7.8  0.719999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.8-9.9
5033419560624 12.7  9.0  7.019999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.8-9.9
5033419560625 15.0  8.0  0.009999-99.9-99.9-99.9-99.9 6.8 70-9.9-99-99.9 -99-99.9 8.7-9.9
5033419560626 17.6  1.2  0.009999-99.9-99.9-99.9-99.9 2.8 28-9.9-99-99.9 -99-99.9 5.2-9.9
5033419560627 11.2  2.2  0.009999-99.9-99.9-99.9-99.9 4.3 44-9.9-99-99.9 -99-99.9 6.6-9.9
5033419560628  8.0 -2.7  0.009999-99.9-99.9-99.9-99.9 0.3  3-9.9-99-99.9 -99-99.9 3.1-9.9
5033419560629  7.4  4.0  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.8-9.9
5033419560630  6.6  1.5  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.8-9.9
5033419560701  5.7  0.8  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 2.8-9.9
5033419560702 14.7  0.0  0.009999-99.9-99.9-99.9-99.9 6.0 61-9.9-99-99.9 -99-99.9 8.1-9.9
5033419560703 16.9 -1.0  0.009999-99.9-99.9-99.9-99.9 2.3 23-9.9-99-99.9 -99-99.9 4.8-9.9
5033419560704 16.4  2.0  2.219999-99.9-99.9-99.9-99.9 0.5  5-9.9-99-99.9 -99-99.9 3.3-9.9
5033419560705 13.1  3.5  0.009999-99.9-99.9-99.9-99.9 2.4 24-9.9-99-99.9 -99-99.9 5.0-9.9
5033419560706 13.5 -5.2  0.009999-99.9-99.9-99.9-99.9 6.9 70-9.9-99-99.9 -99-99.9 9.0-9.9
5033419560707 17.3  0.3  0.009999-99.9-99.9-99.9-99.9 7.5 76-9.9-99-99.9 -99-99.9 9.6-9.9
5033419560708 18.0  1.0  0.009999-99.9-99.9-99.9-99.9 7.0 71-9.9-99-99.9 -99-99.9 9.2-9.9
5033419560709 19.9  1.5  0.009999-99.9-99.9-99.9-99.9 5.9 59-9.9-99-99.9 -99-99.9 8.2-9.9
5033419560710 20.2  2.0  0.009999-99.9-99.9-99.9-99.9 7.2 73-9.9-99-99.9 -99-99.9 9.5-9.9
5033419560711 22.7  3.0  0.009999-99.9-99.9-99.9-99.9 6.9 69-9.9-99-99.9 -99-99.9 9.2-9.9
5033419560712 23.7  6.6  0.009999-99.9-99.9-99.9-99.9 6.0 60-9.9-99-99.9 -99-99.9 8.4-9.9
5033419560713 23.7  3.0  0.009999-99.9-99.9-99.9-99.9 6.0 60-9.9-99-99.9 -99-99.9 8.5-9.9
5033419560714 18.7  7.0  0.009999-99.9-99.9-99.9-99.9 1.2 12-9.9-99-99.9 -99-99.9 4.1-9.9
5033419560715 15.9 10.0  0.009999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.0-9.9
5033419560716 19.1 12.4  6.519999-99.9-99.9-99.9-99.9 0.0  0-9.9-99-99.9 -99-99.9 3.0-9.9
5033419560717 16.2  6.4  0.009999-99.9-99.9-99.9-99.9 5.2 52-9.9-99-99.9 -99-99.9 7.9-9.9
5033419560718 13.7 -1.0  0.009999-99.9-99.9-99.9-99.9 6.4 63-9.9-99-99.9 -99-99.9 9.0-9.9
