5296920241113-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5296920250104 25.8  7.1  0.009999-99.9-99.9-99.9-99.9 8.2 5210.8 45  8.1   3  2.621.0 8.8
5296920250105 27.8  9.9  0.009999-99.9-99.9-99.9-99.913.8 88 8.6 34  4.6   5  4.229.915.5
5296920250106 27.8 10.2  0.009999-99.9-99.9-99.9-99.9 9.8 63 9.9 38  6.7   6  4.623.515.3
5296920250107 26.3 10.8  0.009999-99.9-99.9-99.9-99.910.9 7010.9 45  8.1   5  3.825.212.5
5296920250108 21.5 13.3  0.009999-99.9-99.9-99.9-99.910.0 65 9.2 43  5.4   9  7.323.819.4
5296920250109 22.1  6.1  0.009999-99.9-99.9-99.9-99.913.7 88 7.0 38  1.7   4  3.129.511.0
5296920250110 23.0  2.7  0.009999-99.9-99.9-99.9-99.9 9.7 62 8.0 39  3.7   3  2.323.1 8.3
5296920250111 24.4 11.3  0.009999-99.9-99.9-99.9-99.9 6.9 4510.4 49  7.4   5  4.218.811.5
5296920250112 23.3 12.5  0.009999-99.9-99.9-99.9-99.9 8.6 56 8.7 43  4.7  14 11.121.4-9.9
5296920250113 18.2  8.8  0.009999-99.9-99.9-99.9-99.912.9 84 7.0 44  1.9  10  7.928.217.8
5296920250114 19.2  8.2  0.009999-99.9-99.9-99.9-99.913.2 86 7.6 44  3.0  11  9.028.519.6
5296920250115 18.9 11.2  0.009999-99.9-99.9-99.9-99.912.9 84 7.9 45  3.5  13 10.428.023.2
5296920250116 18.7  8.2  0.009999-99.9-99.9-99.9-99.912.9 84 7.8 50  3.3  10  7.928.016.7
5296920250117 20.8 10.0  0.009999-99.9-99.9-99.9-99.912.3 81 8.7 48  5.0  10  7.727.017.2
5296920250118 24.2 10.5  0.009999-99.9-99.9-99.9-99.913.0 85 9.6 45  6.3   7  5.627.915.0
5296920250119 26.8  6.6  0.009999-99.9-99.9-99.9-99.912.5 82 8.9 41  5.2   3  2.627.110.7
5296920250120 23.7 14.5  0.219999-99.9-99.9-99.9-99.9 4.6 30 9.7 47  6.4   4  2.814.8 9.1
5296920250121 22.7 12.8  0.009999-99.9-99.9-99.9-99.9 9.3 6110.7 54  7.9   5  4.022.010.6
5296920250122 18.8 10.3  0.519999-99.9-99.9-99.9-99.9 1.4  910.9 63  8.2   3  2.7 9.8 5.5
5296920250123 19.4  9.2  0.009999-99.9-99.9-99.9-99.9 6.8 45 9.0 52  5.4   9  7.318.114.9
5296920250124 20.0 11.3  0.009999-99.9-99.9-99.9-99.9 9.3 62 9.4 56  6.0  10  8.021.915.6
5296920250125 20.5 12.7  0.009999-99.9-99.9-99.9-99.9 2.0 1410.2 55  7.2   7  5.410.710.6
5296920250126 22.5  8.5  0.519999-99.9-99.9-99.9-99.9 2.7 1811.3 69  8.7   5  3.811.7 7.2
5296920250127 18.4  9.1  0.009999-99.9-99.9-99.9-99.9 8.6 58 7.8 49  3.3  10  8.320.616.0
5296920250128 21.2 11.7  0.009999-99.9-99.9-99.9-99.9 7.4 50 9.3 51  5.8  10  8.318.716.5
5296920250129 25.0 11.0  0.009999-99.9-99.9-99.9-99.910.4 7012.1 55  9.7   6  5.123.212.3
5296920250130 24.8  9.3  0.009999-99.9-99.9-99.9-99.912.2 8310.9 43  8.2   7  5.926.015.1
5296920250131 19.6  7.4  0.009999-99.9-99.9-99.9-99.912.7 86 8.0 46  3.6   8  6.726.616.6
5296920250201 19.5  5.3  0.009999-99.9-99.9-99.9-99.9 9.9 68 8.6 49  4.7   8  6.122.313.3
5296920250202 15.7 10.0  0.009999-99.9-99.9-99.9-99.912.0 82 8.0 53  3.8  10  7.825.415.4
5296920250203 17.7  6.8  0.009999-99.9-99.9-99.9-99.910.7 74 7.1 51  2.0   7  5.323.311.7
5296920250204 20.1  0.6  0.009999-99.9-99.9-99.9-99.912.5 86 7.3 48  2.4   5  3.925.910.1
5296920250205 20.7  8.7  0.219999-99.9-99.9-99.9-99.9 7.3 50 9.4 62  6.0   6  5.018.0 9.8
5296920250206 17.2  9.4  0.009999-99.9-99.9-99.9-99.913.1 91 6.7 43  1.3  14 11.126.622.6
5296920250207 19.2  6.7  0.519999-99.9-99.9-99.9-99.9 3.6 25 9.5 78  6.0   2  1.912.4 4.1
5296920250208 20.1  8.0  0.219999-99.9-99.9-99.9-99.911.6 81 8.3 48  4.3   6  5.024.211.4
5296920250209 14.2  9.3  8.519999-99.9-99.9-99.9-99.9-9.9 9911.4 94  8.8   1  0.8 5.6-9.9
5296920250210 17.0  7.7  0.009999-99.9-99.9-99.9-99.910.0 70 8.9 58  5.1  10  7.621.512.2
5296920250211 19.2  8.9  0.009999-99.9-99.9-99.9-99.911.7 83 8.0 49  3.7  10  7.624.015.1
5296920250212 22.5  8.6  0.009999-99.9-99.9-99.9-99.910.6 7510.0 59  7.0   4  3.422.3 8.5
5296920250213 27.5  3.4  0.009999-99.9-99.9-99.9-99.910.8 77 9.9 56  6.7   2  1.622.5 6.4
5296920250214 24.4  7.9  0.009999-99.9-99.9-99.9-99.911.9 85 9.5 46  6.1   4  3.124.0 9.6
5296920250215 18.2 10.4  0.009999-99.9-99.9-99.9-99.9 1.9 14 9.2 56  5.8   7  5.4 9.4 9.4
5296920250216 17.8 10.9  0.009999-99.9-99.9-99.9-99.9 9.2 66 8.2 50  4.0   9  7.119.814.1
5296920250217 18.3  2.4  0.009999-99.9-99.9-99.9-99.9 5.7 41 9.3 62  5.7   5  3.814.7 5.8
5296920250218 20.6 13.1  0.009999-99.9-99.9-99.9-99.9 2.4 1711.5 59  9.0   8  6.7 9.910.3
5296920250219 23.4 13.8  0.009999-99.9-99.9-99.9-99.910.8 7911.9 57  9.5   9  7.021.714.2
5296920250220 22.5 12.7  0.009999-99.9-99.9-99.9-99.9 6.4 4711.3 59  8.7   8  6.515.412.2
5296920250221 23.6 14.4  0.009999-99.9-99.9-99.9-99.9 7.6 5610.9 46  8.2   9  7.617.016.4
5296920250222 20.5 13.6  0.009999-99.9-99.9-99.9-99.910.9 8110.4 48  7.4  12  9.721.619.4
5296920250223 20.1 11.7  0.009999-99.9-99.9-99.9-99.911.1 82 8.8 48  5.2  14 11.221.722.1
5296920250224 20.0 11.8  0.009999-99.9-99.9-99.9-99.9 9.4 70 9.0 50  5.4  14 11.019.220.7
5296920250225 18.4  7.4  0.009999-99.9-99.9-99.9-99.9 6.2 46 7.9 61  3.4   3  2.714.6 6.4
5296920250226 21.1 -3.0  0.009999-99.9-99.9-99.9-99.911.4 85 6.7 50  0.9   2  1.621.7 4.8
5296920250227 22.8  1.2  0.009999-99.9-99.9-99.9-99.911.1 84 6.6 41  0.8   2  1.321.2 5.8
5296920250228 21.8  2.6  0.009999-99.9-99.9-99.9-99.9 8.9 67 7.7 53  3.3   4  2.918.1 6.5
5296920250301 20.2 11.0  0.009999-99.9-99.9-99.9-99.9 3.0 2310.4 63  7.5   5  3.910.0 6.8
5296920250302 18.2  9.8  0.219999-99.9-99.9-99.9-99.9 1.8 1310.0 70  6.9   5  4.0 8.2 6.1
5296920250303 16.6  8.2  0.009999-99.9-99.9-99.9-99.9 9.7 74 7.7 54  3.2  10  7.918.813.1
5296920250304 16.8 10.1  0.009999-99.9-99.9-99.9-99.9 6.0 46 8.5 59  4.5  11  8.513.713.1
5296920250305 17.3  6.2 10.819999-99.9-99.9-99.9-99.9 5.8 45 8.5 65  4.3   4  3.013.3 5.4
5296920250306 17.8  8.1  3.219999-99.9-99.9-99.9-99.9 1.2  912.7 90 10.5   1  1.2 7.1 1.5
5296920250307 18.8  5.1  0.009999-99.9-99.9-99.9-99.9 9.9 77 9.2 60  5.6   3  2.618.4 5.8
5296920250308 17.7  3.8  0.009999-99.9-99.9-99.9-99.910.2 80 8.0 59  3.7   4  3.218.8 6.8
5296920250309 19.6  9.1  0.009999-99.9-99.9-99.9-99.9 9.0 71 9.6 61  6.3   8  6.417.110.1
5296920250310 17.8  7.5  0.009999-99.9-99.9-99.9-99.9 9.6 76 6.5 44  0.4   7  5.817.712.6
5296920250311 20.5  3.6  0.009999-99.9-99.9-99.9-99.910.1 80 8.0 62  3.8   1  1.218.1 4.1
5296920250312 22.1  0.2  0.009999-99.9-99.9-99.9-99.9 9.3 74 8.6 69  4.7   1  1.017.1 3.4
5296920250313 20.2 10.0  0.009999-99.9-99.9-99.9-99.910.2 81 9.5 57  6.1   4  3.418.0 8.0
5296920250314 20.8  0.8  0.009999-99.9-99.9-99.9-99.9 9.9 79 8.3 74  4.3   1  1.017.5 3.7
5296920250315 21.0  0.9  0.009999-99.9-99.9-99.9-99.9 5.8 47 9.6 72  6.1   2  1.612.3 2.8
5296920250316 19.5  9.9  0.009999-99.9-99.9-99.9-99.9 4.6 3711.6 68  9.1   5  4.010.7 5.6
5296920250317 19.8 10.3  0.009999-99.9-99.9-99.9-99.9 9.2 75 9.4 51  5.7   7  5.616.210.4
5296920250318 19.0  2.2  0.009999-99.9-99.9-99.9-99.9 6.8 56 6.7 51  1.1   4  3.313.2 6.5
5296920250319 21.7 12.1  0.009999-99.9-99.9-99.9-99.9 4.8 3910.8 52  8.0  13 10.710.619.3
5296920250320 21.6 13.9  0.009999-99.9-99.9-99.9-99.9 6.1 5110.2 55  7.3  10  8.312.115.7
5296920250321 17.4  3.4  0.009999-99.9-99.9-99.9-99.9 7.0 58 7.4 67  2.7   3  2.413.0 5.3
5296920250322 16.7  4.7  0.009999-99.9-99.9-99.9-99.9 7.9 66 6.4 50  0.5   4  2.914.0 6.1
5296920250323 19.2 -3.4  0.009999-99.9-99.9-99.9-99.9 8.8 73 6.9 71  1.5   2  1.314.9 2.8
5296920250324 24.9  0.6  0.009999-99.9-99.9-99.9-99.9 6.9 5810.4 80  7.1   1  0.512.6 2.2
5296920250325 30.5  4.4  0.009999-99.9-99.9-99.9-99.9 9.2 7711.6 74  8.9   0  0.415.1 2.8
5296920250326 24.9  2.9  0.009999-99.9-99.9-99.9-99.9 9.2 7810.1 65  7.1   4  3.415.0 5.6
5296920250327 20.5  8.4  0.009999-99.9-99.9-99.9-99.9 9.0 77 9.8 64  6.6   4  2.914.6 6.4
5296920250328 17.3  6.1  0.009999-99.9-99.9-99.9-99.9 6.1 52 8.2 58  4.2   4  3.211.2 5.7
5296920250329 16.5  4.1  4.519999-99.9-99.9-99.9-99.9-9.9 99 9.7 84  6.4   5  4.4 2.3-9.9
5296920250330 15.0  3.6  0.009999-99.9-99.9-99.9-99.9 8.4 73 8.1 69  3.8   5  4.213.5 4.6
5296920250331 14.3  7.9  0.009999-99.9-99.9-99.9-99.9 5.5 48 7.5 59  2.9   8  6.610.2 9.0
5296920250401 15.8  9.8  2.819999-99.9-99.9-99.9-99.9 7.1 62 8.5 64  4.7  11  8.611.911.6
5296920250402 11.3 -0.7  0.219999-99.9-99.9-99.9-99.9 5.3 46 6.3 73  0.2   5  4.2 9.8 4.1
5296920250403 12.4 -4.7  0.009999-99.9-99.9-99.9-99.9 9.3 82 4.7 67 -3.4   1  0.714.0 1.8
5296920250404 15.1 -6.4  0.009999-99.9-99.9-99.9-99.9 7.9 70 5.4 76 -1.9   1  0.612.3 1.4
5296920250405 19.9 -3.7  0.009999-99.9-99.9-99.9-99.9 7.5 66 6.7 77  1.1   1  0.411.7 1.4
5296920250406 24.7 -2.6  0.009999-99.9-99.9-99.9-99.9 9.1 82 6.8 69  1.4   1  0.513.3 1.9
5296920250407 20.0  2.3  0.009999-99.9-99.9-99.9-99.9 8.9 80 8.1 50  3.9   5  3.913.0 7.0
5296920250408 19.4 -1.6  0.009999-99.9-99.9-99.9-99.9 5.9 53 7.9 69  3.3   1  0.9 9.8 2.1
5296920250409 18.5  2.7  0.219999-99.9-99.9-99.9-99.9 4.6 42 8.5 73  4.5   1  1.0 8.4 2.0
5296920250410 12.2  5.7  3.219999-99.9-99.9-99.9-99.9-9.9 9910.9 95  8.2   4  3.1 1.6-9.9
5296920250411 14.9  5.8  0.219999-99.9-99.9-99.9-99.9 5.6 5210.1 83  7.2   2  1.7 9.2 1.5
5296920250412 15.6  5.5  0.009999-99.9-99.9-99.9-99.9 3.9 3610.2 76  7.2   4  3.2 7.4 3.4
5296920250413 10.5  5.6  4.519999-99.9-99.9-99.9-99.9-9.9 99 9.9100  6.8   5  4.4 1.3-9.9
5296920250414-99.9-99.9-99.999999-99.9-99.9-99.9-99.9-9.9 99-9.9-99-99.9 -99-99.9-9.9-9.9
5296920250415-99.9-99.9  0.219999-99.9-99.9-99.9-99.9-9.9 99-9.9 82-99.9 -99-99.9-9.9-9.9
5296920250416 15.4  5.7  0.009999-99.9-99.9-99.9-99.9 6.9 65 9.6 78  6.3   2  2.0 9.8 2.1
5296920250417 13.6  2.3  0.219999-99.9-99.9-99.9-99.9 2.7 26 8.9 89  5.2   1  1.0 5.8 1.0
5296920250418 15.6 -2.0  0.009999-99.9-99.9-99.9-99.9 8.1 76 7.5 83  2.7   1  1.110.7 1.3
5296920250419 14.0 -2.0  0.009999-99.9-99.9-99.9-99.9 4.8 46 7.4 86  2.4   0  0.3 7.6 0.6
5296920250420 15.7 -1.4  0.009999-99.9-99.9-99.9-99.9 0.4  4 8.5 84  4.2   2  1.3 3.5 0.4
5296920250421 14.6  0.3  0.009999-99.9-99.9-99.9-99.9 8.0 77 7.1 78  1.9   2  1.710.3 2.4
5296920250422 13.5 -1.5  1.019999-99.9-99.9-99.9-99.9 3.0 29 7.8 83  3.3   1  0.6 5.7 0.6
5296920250423 16.0 -0.8  0.009999-99.9-99.9-99.9-99.9 7.6 74 8.5 76  4.5   2  2.0 9.7 1.8
5296920250424 14.1  4.3 16.219999-99.9-99.9-99.9-99.9-9.9 99 9.1 75  5.7   2  1.5 2.6-9.9
5296920250425 11.5  5.4  0.009999-99.9-99.9-99.9-99.9 6.6 64 7.1 56  1.8   7  6.0 8.6 6.1
5296920250426 10.6  5.9  0.009999-99.9-99.9-99.9-99.9-9.9 99 7.2 60  2.3  10  8.0 1.7-9.9
5296920250427 15.8  8.7  0.009999-99.9-99.9-99.9-99.9 5.2 52 8.9 63  5.2   9  6.9 7.3 8.1
5296920250428 16.8  4.7  0.009999-99.9-99.9-99.9-99.9 7.4 74 9.0 67  5.5   5  3.7 9.0 4.3
5296920250429 17.0  5.1  0.009999-99.9-99.9-99.9-99.9 7.1 71 9.8 81  6.7   3  2.3 8.6 2.6
5296920250430 17.1  0.0  0.009999-99.9-99.9-99.9-99.9 6.4 64 8.2 76  3.9   2  1.4 8.0 1.2
5296920250501 15.1  3.1  0.009999-99.9-99.9-99.9-99.9 3.8 38 8.7 83  4.9   1  1.1 5.7 1.1
5296920250502 14.1 -0.2  0.009999-99.9-99.9-99.9-99.9 0.3  3 8.8 77  5.1   3  2.5 2.8 1.6
5296920250503 12.1  0.6  0.009999-99.9-99.9-99.9-99.9 4.5 46 6.7 78  1.1   2  1.5 6.2 1.6
5296920250504 10.7 -7.2  0.009999-99.9-99.9-99.9-99.9 5.1 52 5.3 73 -2.1   2  1.4 6.6 0.8
5296920250505 14.1 -2.0  0.009999-99.9-99.9-99.9-99.9 2.5 25 7.3 73  2.4   4  3.2 4.4 1.4
5296920250506 11.7  1.9  3.519999-99.9-99.9-99.9-99.9 5.0 52 7.4 73  2.6   4  3.6 6.3 3.0
5296920250507 11.1  0.9  0.009999-99.9-99.9-99.9-99.9 2.3 24 7.9 92  3.5   1  0.9 4.2 0.5
5296920250508  8.2 -0.3  0.009999-99.9-99.9-99.9-99.9 3.3 34 7.6 83  3.0   2  1.7 4.9 0.8
5296920250509  9.5  0.6  0.009999-99.9-99.9-99.9-99.9 0.5  6 7.0 74  1.9   4  3.3 2.8 2.8
5296920250510 17.2 -2.2  0.009999-99.9-99.9-99.9-99.9 7.1 74 7.7 70  2.9   7  5.3 7.6 2.4
5296920250511 13.4  2.0  0.009999-99.9-99.9-99.9-99.9 1.1 12 8.3 86  4.2   2  1.3 3.1 1.7
5296920250512 16.3 -1.9  0.009999-99.9-99.9-99.9-99.9 3.1 33 8.2 64  3.8   5  4.4 4.6 3.1
5296920250513 14.0 -3.3  0.009999-99.9-99.9-99.9-99.9 5.4 58 6.7 79  1.1   5  3.8 6.2 2.2
5296920250514 12.7  5.2  0.009999-99.9-99.9-99.9-99.9 6.0 64 7.1 58  2.0  10  8.0 6.5 7.4
5296920250515 11.0  6.2  0.009999-99.9-99.9-99.9-99.9 7.0 76 6.6 59  1.0  11  8.8 7.210.5
5296920250516  7.9  1.0 12.519999-99.9-99.9-99.9-99.9-9.9 99 6.8 85  1.4   2  1.9 1.6-9.9
5296920250517  5.1 -0.1  2.219999-99.9-99.9-99.9-99.9-9.9 99 6.8100  1.5   1  1.2 1.9-9.9
5296920250518  7.9 -1.3  0.009999-99.9-99.9-99.9-99.9 5.7 62 5.9 75 -0.6   5  3.9 6.1 2.1
5296920250519  9.0 -0.5  0.009999-99.9-99.9-99.9-99.9 6.7 74 6.1 80 -0.1   3  2.2 6.7 1.3
5296920250520  5.7 -3.7  0.009999-99.9-99.9-99.9-99.9 3.0 33 5.1 79 -2.4   2  1.4 4.1 0.6
5296920250521  6.7 -2.7  0.009999-99.9-99.9-99.9-99.9 4.7 51 5.3 83 -2.1   3  2.1 5.2 1.0
5296920250522 12.4 -6.3  0.009999-99.9-99.9-99.9-99.9 6.2 68 5.9 87 -0.9   1  0.5 6.1 0.1
5296920250523 10.7 -2.9  0.009999-99.9-99.9-99.9-99.9 6.2 69 6.5 77  0.7   5  3.9 6.1 1.2
5296920250524  9.7  2.2  0.009999-99.9-99.9-99.9-99.9 1.8 20 7.2 74  2.3   9  6.8 3.1 4.4
5296920250525 11.0  4.5  1.019999-99.9-99.9-99.9-99.9-9.9 99 8.2 81  4.1   3  2.1 1.6-9.9
5296920250526  6.9  3.2  0.219999-99.9-99.9-99.9-99.9-9.9 99 7.4 84  2.7   5  4.0 1.8-9.9
5296920250527  7.4 -2.2  0.009999-99.9-99.9-99.9-99.9 5.1 57 6.4 88  0.5   1  1.0 5.1 0.4
5296920250528 14.7 -1.9  0.009999-99.9-99.9-99.9-99.9 6.3 71 7.3 74  2.4   5  3.8 5.9 1.6
5296920250529 12.5 -0.4  0.009999-99.9-99.9-99.9-99.9 1.9 22 7.3 83  2.4   5  4.1 3.0 3.2
5296920250530 10.7  4.3  0.009999-99.9-99.9-99.9-99.9 6.8 78 6.9 66  1.6  10  8.1 6.1 6.5
5296920250531  9.9  5.8  0.009999-99.9-99.9-99.9-99.9 5.4 61 6.6 61  1.1   8  6.3 5.2 6.2
5296920250601 11.6  1.1  0.009999-99.9-99.9-99.9-99.9 2.7 31 8.3 87  3.9   4  3.3 3.5 1.6
5296920250602  7.6 -2.2  0.009999-99.9-99.9-99.9-99.9 0.3  4 6.1 86 -0.0   1  1.2 2.0 0.9
5296920250603 12.0 -6.2  0.009999-99.9-99.9-99.9-99.9 5.8 67 6.0 74 -0.6   3  2.6 5.3 0.7
5296920250604  8.1 -0.6  0.009999-99.9-99.9-99.9-99.9 1.7 19 5.9 60 -0.6   8  6.5 2.8 6.0
5296920250605 11.5  6.8  0.009999-99.9-99.9-99.9-99.9 0.8  9 7.8 69  3.4   9  7.0 2.2 6.3
5296920250606 13.5 -0.6  0.009999-99.9-99.9-99.9-99.9 5.9 68 7.4 86  2.6   1  0.7 5.3 0.7
5296920250607 10.5 -5.2  0.009999-99.9-99.9-99.9-99.9 4.1 48 6.3 93 -0.0   0  0.2 4.2 0.0
5296920250608  8.7 -1.6  0.009999-99.9-99.9-99.9-99.9 4.2 49 6.9 95  1.6   0  0.3 4.2 0.0
5296920250609 10.5 -2.8  0.009999-99.9-99.9-99.9-99.9 3.7 43 7.1 92  1.9   0  0.1 3.9 0.0
5296920250610 10.5  0.3  0.009999-99.9-99.9-99.9-99.9 1.4 16 7.4 77  2.7   3  2.7 2.5 1.2
5296920250611 10.3  3.4  0.009999-99.9-99.9-99.9-99.9 0.7  9 7.2 84  2.2   2  1.7 2.1 1.2
5296920250612  6.3 -0.3  4.519999-99.9-99.9-99.9-99.9-9.9 99 7.4100  2.5   0  0.3 1.0-9.9
5296920250613  8.6 -1.7  0.009999-99.9-99.9-99.9-99.9 2.3 27 7.0 85  1.9   2  1.3 3.0 0.2
5296920250614  8.8  3.6  7.819999-99.9-99.9-99.9-99.9 0.2  3 7.8 86  3.4   2  1.8 1.8 1.1
5296920250615  4.9  2.8  3.019999-99.9-99.9-99.9-99.9-9.9 99 7.9100  3.5   1  1.0 1.4-9.9
5296920250616  4.8 -1.6  0.009999-99.9-99.9-99.9-99.9 0.3  3 6.9100  1.5   0  0.3 1.8 0.1
5296920250617  7.9 -2.1  0.009999-99.9-99.9-99.9-99.9 5.5 64 6.3 78  0.3   4  2.8 4.8 1.2
5296920250618 10.1  0.2  0.009999-99.9-99.9-99.9-99.9 1.4 16 7.7 86  3.1   3  2.2 2.4 0.7
5296920250619 11.7  3.1  0.009999-99.9-99.9-99.9-99.9 3.0 35 8.7 88  4.9   3  2.5 3.4 1.2
5296920250620  7.9 -1.3  0.009999-99.9-99.9-99.9-99.9 4.4 52 6.5 77  0.9   4  2.9 4.2 1.5
5296920250621 12.5  1.9  0.009999-99.9-99.9-99.9-99.9 3.4 40 6.8 69  1.0   5  3.8 3.6 3.2
5296920250622  8.0 -0.9  0.009999-99.9-99.9-99.9-99.9 6.3 74 4.7 63 -3.8   3  2.1 5.3 2.2
